,cov_type,algo,dims,ns,K,folds
0,suo_sp_rand,wit,"{'p': 10, 'q': 10}",[20],2,5
1,suo_sp_rand,ridge,"{'p': 100, 'q': 100}","[20, 40, 60, 100, 150, 200, 300, 500, 1000]",2,5
2,suo_sp_rand,wit,"{'p': 100, 'q': 100}","[20, 40, 60, 100, 150, 200, 300, 500, 1000]",2,5
3,suo_sp_rand,suo,"{'p': 100, 'q': 100}","[20, 40, 60, 100, 150, 200, 300, 500, 1000]",2,5
4,suo_sp_rand,gglasso,"{'p': 100, 'q': 100}","[20, 40, 60, 100, 150, 200, 300, 500, 1000]",2,5
5,powerlaw,ridge,"{'p': 100, 'q': 100}","[20, 40, 60, 100, 150, 200, 300, 500, 1000]",4,5
6,powerlaw,wit,"{'p': 100, 'q': 100}","[20, 40, 60, 100, 150, 200, 300, 500, 1000]",4,5
7,powerlaw,suo,"{'p': 100, 'q': 100}","[20, 40, 60, 100, 150, 200, 300, 500, 1000]",4,5
8,powerlaw,gglasso,"{'p': 100, 'q': 100}","[20, 40, 60, 100, 150, 200, 300, 500, 1000]",4,5
9,pboot_nm_ggl_cvm3,ridge,pboot,"[20, 40, 60, 100, 150, 200, 300, 500, 1000]",6,5
10,pboot_nm_ggl_cvm3,wit,pboot,"[20, 40, 60, 100, 150, 200, 300, 500, 1000]",6,5
11,pboot_nm_ggl_cvm3,suo,pboot,"[20, 40, 60, 100, 150, 200, 300, 500, 1000]",6,5
12,pboot_nm_ggl_cvm3,gglasso,pboot,"[20, 40, 60, 100, 150, 200, 300, 500, 1000]",6,5
13,pboot_mb_ggl_cv,ridge,pboot,"[20, 40, 60, 100, 150, 200, 300, 500, 1000]",6,5
14,pboot_mb_ggl_cv,wit,pboot,"[20, 40, 60, 100, 150, 200, 300, 500, 1000]",6,5
15,pboot_mb_ggl_cv,suo,pboot,"[20, 40, 60, 100, 150, 200, 300, 500, 1000]",6,5
16,pboot_mb_ggl_cv,gglasso,pboot,"[20, 40, 60, 100, 150, 200, 300, 500, 1000]",6,5
