"","chrom","nuc"
"1",1,5918.606
"2",1,6069
"3",1,6817
"4",1,7827.384
"5",1,9421.348
"6",1,10284
"7",1,12042
"8",1,13349
"9",1,14391
"10",1,15121
"11",1,18460
"12",1,18736.435
"13",1,19980
"14",1,21392
"15",1,21963
"16",1,22506.932
"17",1,22834
"18",1,23269
"19",1,26900
"20",1,27415.682
"21",1,27542
"22",1,27560
"23",1,29813.398
"24",1,30378
"25",1,30688.467
"26",1,30834
"27",1,32219.404
"28",1,32880
"29",1,33440.731
"30",1,33624
"31",1,34018
"32",1,35000
"33",1,36499
"34",1,39774
"35",1,45171
"36",1,47052.278
"37",1,50120
"38",1,53698
"39",1,54837
"40",1,56978
"41",1,57857
"42",1,58618.502
"43",1,58619
"44",1,60652
"45",1,60743
"46",1,61842
"47",1,63708
"48",1,63825
"49",1,64641
"50",1,67523.433
"51",1,67881.562
"52",1,69092
"53",1,75136
"54",1,77139
"55",1,78407
"56",1,79392
"57",1,81966
"58",1,91619.913
"59",1,96290
"60",1,101148
"61",1,101435
"62",1,103452.176
"63",1,109560
"64",1,109752
"65",1,110123
"66",1,110394
"67",1,110631
"68",1,111807
"69",1,112456
"70",1,114325
"71",1,114548
"72",1,114548.311
"73",1,115000
"74",1,117849
"75",1,119505
"76",1,143223
"77",1,143379
"78",1,148481
"79",1,148497
"80",1,152361.559
"81",1,154047.518
"82",1,156282
"83",1,157693
"84",1,157812
"85",1,159634
"86",1,159925.955
"87",1,160212.839
"88",1,163241
"89",1,164403
"90",1,164792
"91",1,164980
"92",1,165280
"93",1,165442
"94",1,167345
"95",1,167931
"96",1,168843.932
"97",1,169741.635
"98",1,171602
"99",1,172361
"100",1,174528
"101",1,179543
"102",1,180113
"103",1,180394.779
"104",1,182394
"105",1,182956
"106",1,185224
"107",1,192545
"108",1,193921.282
"109",1,195851.323
"110",1,197403
"111",1,198434
"112",1,199181.297
"113",1,199369
"114",1,199789
"115",1,201306.53
"116",1,202081
"117",1,202636
"118",1,202893
"119",1,204829
"120",1,206665
"121",1,207093
"122",1,209140
"123",1,212702
"124",1,213196
"125",1,215635.418
"126",1,220942
"127",1,223184
"128",1,229579
"129",1,232755.281
"130",1,233669
"131",1,236590
"132",1,237178.563
"133",1,238647
"134",1,238741
"135",1,239819
"136",1,239937
"137",2,0
"138",2,6680
"139",2,9619
"140",2,10565
"141",2,15249
"142",2,16108
"143",2,16108.95
"144",2,19239
"145",2,28578
"146",2,31391
"147",2,34254
"148",2,36574
"149",2,37308.283
"150",2,37891
"151",2,45906
"152",2,46240
"153",2,47684.622
"154",2,57129
"155",2,61124
"156",2,68566.957
"157",2,70526
"158",2,70649.179
"159",2,75252.699
"160",2,79682
"161",2,84963
"162",2,86051
"163",2,96719
"164",2,97951.43
"165",2,106168
"166",2,106895
"167",2,113094
"168",2,113603
"169",2,134313
"170",2,137699
"171",2,141898
"172",2,145625
"173",2,148478.863
"174",2,151527.253
"175",2,151527.253
"176",2,151964
"177",2,152865
"178",2,156486
"179",2,158796.372
"180",2,160851
"181",2,168191
"182",2,171577
"183",2,175659
"184",2,176227
"185",2,179859
"186",2,183149
"187",2,184695
"188",2,195683
"189",2,201831
"190",2,204775
"191",2,205400.439
"192",2,207593
"193",2,212449
"194",2,212454.864
"195",2,218461
"196",2,220995
"197",2,222128
"198",2,223880
"199",2,224790
"200",2,225795
"201",2,232440
"202",2,233638
"203",2,233910
"204",2,234356.494
"205",2,235978
"206",2,236917
"207",2,238365.146
"208",2,243616
"209",3,0
"210",3,2121
"211",3,2132
"212",3,4055
"213",3,6776
"214",3,8160.756
"215",3,8687
"216",3,10157.819
"217",3,11492
"218",3,12600
"219",3,13853
"220",3,14460.134
"221",3,15171
"222",3,15780
"223",3,22373
"224",3,22735
"225",3,23710
"226",3,24198.962
"227",3,25444.866
"228",3,28646
"229",3,29867
"230",3,30710
"231",3,36353
"232",3,38009.631
"233",3,38238
"234",3,41125.969
"235",3,42269.952
"236",3,42435
"237",3,43081.314
"238",3,44574
"239",3,45301
"240",3,48160.639
"241",3,49334.635
"242",3,50085.379
"243",3,50292.845
"244",3,53217.013
"245",3,53486.423
"246",3,53990
"247",3,55786
"248",3,56154
"249",3,57323
"250",3,59521
"251",3,59791
"252",3,60467
"253",3,62456
"254",3,62499.927
"255",3,63995
"256",3,64165
"257",3,67590
"258",3,72347.163
"259",3,100810
"260",3,101972.863
"261",3,106039
"262",3,108925
"263",3,109808
"264",3,114258
"265",3,115168.539
"266",3,116445
"267",3,118923
"268",3,119309
"269",3,120765
"270",3,125401
"271",3,127264.797
"272",3,128438
"273",3,130209.34
"274",3,130570.234
"275",3,132900.954
"276",3,136234.076
"277",3,136638
"278",3,137290.056
"279",3,137444
"280",3,137444.455
"281",3,137444.455
"282",3,138742
"283",3,139695
"284",3,139809.211
"285",3,140305.049
"286",3,140483.269
"287",3,140781
"288",3,143663.252
"289",3,144088
"290",3,144684
"291",3,146387
"292",3,149780.867
"293",3,150128
"294",3,151347
"295",3,152252
"296",3,152627
"297",3,153429.109
"298",3,160564.633
"299",3,161882.868
"300",3,165128
"301",3,168514.415
"302",3,169530.924
"303",3,170126.904
"304",3,170244
"305",3,170803
"306",3,171446.09
"307",3,171472.454
"308",3,171512.987
"309",3,171572.281
"310",3,171691.22
"311",3,171691.22
"312",3,171913.819
"313",3,171920.878
"314",3,171927.116
"315",3,171961.048
"316",3,171987.594
"317",3,172035.049
"318",3,172035.049
"319",3,172970
"320",3,173518.452
"321",3,180237.517
"322",3,180238
"323",3,180273
"324",3,180749
"325",3,185297
"326",3,185406
"327",3,188707.765
"328",3,188760
"329",3,188760.139
"330",3,190400
"331",3,190983.021
"332",3,191164.731
"333",3,192998.188
"334",3,197102.87
"335",3,198342.644
"336",3,199344
"337",4,753
"338",4,1083
"339",4,1864
"340",4,2997.112
"341",4,4485
"342",4,4859
"343",4,4936
"344",4,8171
"345",4,9756
"346",4,11085
"347",4,15196
"348",4,19188
"349",4,20415
"350",4,23295
"351",4,23986
"352",4,25331
"353",4,25835
"354",4,26142
"355",4,28680
"356",4,29422
"357",4,30264
"358",4,30469
"359",4,30614
"360",4,30741
"361",4,33162
"362",4,35527
"363",4,37073
"364",4,38053
"365",4,38162
"366",4,40214
"367",4,40749
"368",4,41277
"369",4,42338
"370",4,44474
"371",4,44739
"372",4,45819
"373",4,45843
"374",4,47679
"375",4,48053.342
"376",4,48102
"377",4,48340
"378",4,48340
"379",4,48819
"380",4,52945
"381",4,53657
"382",4,54688
"383",4,55010.743
"384",4,55111
"385",4,56462
"386",4,57177
"387",4,66193.025
"388",4,66604
"389",4,67755
"390",4,68456
"391",4,71696
"392",4,73488
"393",4,74424
"394",4,74736.256
"395",4,75202
"396",4,75320
"397",4,75331
"398",4,75331
"399",4,75429
"400",4,76058
"401",4,76371
"402",4,76597
"403",4,77400
"404",4,79324
"405",4,80786
"406",4,82882
"407",4,83433
"408",4,84625
"409",4,85428
"410",4,86767
"411",4,87369
"412",4,87738
"413",4,87974
"414",4,88522
"415",4,89387.214
"416",4,89864
"417",4,90433
"418",4,90591
"419",4,91474
"420",4,91710
"421",4,94193
"422",4,94902
"423",4,97135
"424",4,98738
"425",4,99766.981
"426",4,99792
"427",4,100687
"428",4,101567
"429",4,111671
"430",4,112154.575
"431",4,112724
"432",4,115227
"433",4,120384
"434",4,120417
"435",4,120664
"436",4,121198
"437",4,121886
"438",4,124058
"439",4,124066
"440",4,124272
"441",4,124748
"442",4,125135
"443",4,128592
"444",4,128976
"445",4,133904
"446",4,134574
"447",4,135249
"448",4,139759
"449",4,139994
"450",4,141249
"451",4,142438.37
"452",4,143222
"453",4,144835.893
"454",4,144835.893
"455",4,145023
"456",4,145376
"457",4,145376
"458",4,145551
"459",4,147169
"460",4,147357
"461",4,148000
"462",4,152620
"463",4,152716
"464",4,152942
"465",4,153406
