"","gene","genename","genechr","genepos","genedesc"
"1","Hs.75562","DDR1","6","30962.416","discoidin domain receptor family, member 1"
"2","Hs.139226","RFC2","7","73057.93","replication factor C (activator 1) 2 (40kD)"
"3","Hs.3268","HSPA6","1","158763.113","heat shock 70kD protein 6 (HSP70Bp)"
"4","Hs.73149","PAX8","2","114071.252","paired box gene 8"
"5","Hs.16695","UBE1L","3","49801.651","ubiquitin-activating enzyme E1-like"
"6","Hs.724","THRA","17","38594.181","thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)"
"7","Hs.155693","PTPN21","14","86924.157","protein tyrosine phosphatase, non-receptor type 21"
"8","Hs.241392","SCYA5","17","34344.046","small inducible cytokine A5 (RANTES)"
"9","Hs.75183","CYP2E","10","134814.157","cytochrome P450, subfamily IIE (ethanol-inducible)"
"10","Hs.2913","EPHB3","3","185600.499","EphB3"
"11","Hs.110849","ESRRA","11","63848.403","estrogen-related receptor alpha"
"12","Hs.334345","CYP2A6","19","46041.283","cytochrome P450, subfamily IIA (phenobarbital-inducible), polypeptide 6"
"13","Hs.78501","GAS6","13","112446.912","growth arrest-specific 6"
"14","Hs.2399","MMP14","14","21295.92","matrix metalloproteinase 14 (membrane-inserted)"
"15","Hs.89862","TRADD","16","66964.34","TNFRSF1A-associated via death domain"
"16","Hs.276","FNTB","14","63443.697","farnesyltransferase, CAAX box, beta"
"17","Hs.82587","PLD1","3","172641.505","phospholipase D1, phophatidylcholine-specific"
"18","Hs.306174","PMS2L11","7","76222.354","postmeiotic segregation increased 2-like 11"
"19","Hs.76366","BAD","11","63812.661","BCL2-antagonist of cell death"
"20","Hs.181368","PRPF8","17","1760.514","PRP8 pre-mRNA processing factor 8 homolog (yeast)"
"21","Hs.74451","CAPNS1","19","41322.756","calpain, small subunit 1"
"22","Hs.182825","RPL35","9","122996.207","ribosomal protein L35"
"23","Hs.4437","RPL28","19","60589.111","ribosomal protein L28"
"24","Hs.183684","EIF4G2","11","10782.909","eukaryotic translation initiation factor 4 gamma, 2"
"25","Hs.55682","EIF3S7","22","35149.936","eukaryotic translation initiation factor 3, subunit 7 (zeta, 66/67kD)"
"26","Hs.10958","DJ-1","1","7731.338","RNA-binding protein regulatory subunit"
"27","Hs.180394","SRP14","15","38044.298","signal recognition particle 14kD (homologous Alu RNA binding protein)"
"28","Hs.56845","GDI2","10","5811.191","GDP dissociation inhibitor 2"
"29","Hs.56845","GDI2","10","5811.191","GDP dissociation inhibitor 2"
"30","Hs.179943","RPL11","1","23487.768","ribosomal protein L11"
"31","Hs.119177","ARF3","12","47616.258","ADP-ribosylation factor 3"
"32","Hs.350077","RPL21","13","25623.705","ribosomal protein L21"
